appid,name
433350,BlackShot: Mercenary Warfare FPS
433950,Bit Blaster XL
434050,Duke Nukem 3D: 20th Anniversary World Tour
434170,The Jackbox Party Pack 3
434570,Blood and Bacon
436150,Governor of Poker 3
436180,Spacelords
438020,AI: Rampage
438180,Super Mustache
438640,LEGO STAR WARS: The Force Awakens
438680,One Troll Army
439350,Kritika:REBOOT
442120,Pinball FX3
443110,Armored Warfare
443810,This Is the Police
444480,Broken Dreams
445220,Avorion
446800,Transport Fever
447530,VA-11 Hall-A: Cyberpunk Bartender Action
448280,Job Simulator
449200,Calcu-Late
449680,SAMOLIOTIK
449960,Book of Demons
451340,Gold Rush: The Game
457550,Bigscreen Beta
460810,Vanquish
461910,Forge of Gods (RPG)
462770,Pyre
462930,AdVenture Communist
464060,RUINER
466840,Super Space Pug
467950,Survive in Space
469600,Legion TD 2 - Multiplayer Tower Defense
469820,Genital Jousting
471550,Nine Parchments
473690,Absolver
474750,Reigns
479130,ESEA
480430,Hide and Shriek
485310,Head Shot
485610,Ball 3D: Soccer Online
486310,Meadow
487220,Freebie
488790,South Park: The Fractured But Whole
489940,BATTALION 1944
493490,City Car Driving
493900,Dungeons 3
495910,Dungeon Fighter Online
496240,Onward
496680,SweatShop
498240,Batman - The Telltale Series
498320,Trolley Gold
499420,Star Fields
501300,What Remains of Edith Finch
502520,Ultimate General: Civil War
503560,911 Operator
503820,A Detective's Novel
503940,Railway Empire
505460,Foxhole
506140,Shop Heroes
506610,Five Nights at Freddy's: Sister Location
507490,Ashes of the Singularity: Escalation
508290,$1 Ride
509980,BIGFOOT
511800,ONRAID
512900,Streets of Rogue
513510,Intralism
513780,Turbo Pug DX
514900,>observer_
515180,Bus Simulator 18
515690,Warriors of Vilvatikta
517630,Just Cause 4 Reloaded
519190,Next Day: Survival
521890,Hello Neighbor
522210,Serial Cleaner
523660,HYPERCHARGE: Unboxed
526540,8infinity
526790,Monsti
528230,SYNTHETIK: Legion Rising
528510,Turbo Pug 3D
529180,Dark and Light
529340,Victoria 3
529920,Resurgence
531510,Just Shapes & Beats
531640,Eternal Card Game
533540,MONMUSU
533780,Zombie Defense
535760,Unforgiving Trials: The Space Crusade
536220,The Walking Dead: A New Frontier
